cell index;exp;Px;Sx;Py;Sy
0;sin20;443.5843792633549;0.9861877182784335;40.284545525214064;0.2352714000614431
1;sin20;117.17597739096766;0.6429440493745556;22.40968827517524;0.2466794631870818
2;sin20;195.0786134919215;0.9849636117970648;28.77418344123131;0.2978303008252342
3;sin20;165.5928937898021;0.819211543895541;21.14049077621413;0.3318804977249594
4;sin20;117.17597739096766;0.6429440493745556;22.40968827517524;0.2466794631870818
5;sin20;219.47254399693904;0.8710953925562233;22.937152297698333;0.2435273956479701
6;sin20;195.0786134919215;0.9849636117970648;66.55667920011484;0.2167899059103887
7;sin20;148.2508991704784;0.9576984033665298;29.290209131737495;0.2157852628975902
8;sin20;85.64697498597462;1.1031261239042385;46.84864266453639;0.2758996074782339
9;sin20;443.5843792633549;0.9861877182784335;165.2757549298933;0.1093826217041875
10;sin20;443.5843792633549;0.9861877182784335;40.284545525214064;0.2352714000614431
11;sin20;165.5928937898021;0.819211543895541;68.98689064073207;0.1878332629930926
12;sin20;515.9969674458159;0.8045705586173229;22.40968827517524;0.2466794631870818
13;sin20;136.43563671363978;0.8597925454671986;22.937152297698333;0.2435273956479701
14;sin20;443.5843792633549;0.9861877182784335;40.284545525214064;0.2352714000614431
15;sin20;144.12101317774304;1.169234371336208;40.284545525214064;0.2352714000614431
16;sin20;95.8860439239651;0.7729938853531868;22.40968827517524;0.2466794631870818
17;sin20;219.47254399693904;0.8710953925562233;40.76694951166967;9.345348344770533e-08
18;sin20;144.12101317774304;1.169234371336208;22.40968827517524;0.2466794631870818
19;sin20;148.2508991704784;0.9576984033665298;148.86855623472152;0.1582601303616855
20;sin20;515.9969674458159;0.8045705586173229;22.40968827517524;0.2466794631870818
21;sin20;219.47254399693904;0.8710953925562233;21.14049077621413;0.3318804977249594
22;sin20;388.1023092886364;0.803552297700594;28.77418344123131;0.2978303008252342
23;sin20;117.17597739096766;0.6429440493745556;40.284545525214064;0.2352714000614431
24;sin20;442.3109826177235;0.9919593126490712;68.98689064073207;0.1878332629930926
25;sin20;443.5843792633549;0.9861877182784335;27.964200538208463;0.1723061962924129
26;sin20;117.17597739096766;0.6429440493745556;27.964200538208463;0.1723061962924129
27;sin20;219.47254399693904;0.8710953925562233;22.937152297698333;0.2435273956479701
28;sin20;388.1023092886364;0.803552297700594;28.77418344123131;0.2978303008252342
29;sin20;85.64697498597462;1.1031261239042385;40.284545525214064;0.2352714000614431
30;sin20;148.2508991704784;0.9576984033665298;38.67080258056119;0.1828659468067675
31;sin20;165.5928937898021;0.819211543895541;148.86855623472152;0.1582601303616855
32;sin20;383.711231340254;0.7491372493514282;76.03270389339654;0.1154051574244432
33;sin20;193.9396676645328;0.6440236539050824;28.77418344123131;0.2978303008252342
34;sin20;219.47254399693904;0.8710953925562233;21.14049077621413;0.3318804977249594
35;sin20;443.5843792633549;0.9861877182784335;21.14049077621413;0.3318804977249594
36;sin20;388.1023092886364;0.803552297700594;40.284545525214064;0.2352714000614431
37;sin20;219.47254399693904;0.8710953925562233;22.40968827517524;0.2466794631870818
38;sin20;136.43563671363978;0.8597925454671986;22.40968827517524;0.2466794631870818
39;sin20;193.9396676645328;0.6440236539050824;40.76694951166967;9.345348344770533e-08
40;sin20;148.2508991704784;0.9576984033665298;29.290209131737495;0.2157852628975902
